ï»¿Booking date,Value date,Voucher number,Text,Amount,Balance,Category
2025-03-07,2025-03-07,5490990789,46736344968,-179.0,3563.49,Other
2025-03-07,2025-03-07,5484798153,ICA LAPPKARR/25-03-06,-48.9,3742.49,Groceries
2025-03-07,2025-03-07,5490990789,393405707919,-176.0,3791.39,Other
2025-03-06,2025-03-06,5484019780,ICA LAPPKARR/25-03-05,-211.05,3967.39,Groceries
2025-03-05,2025-03-05,5484715227,WOLT        /25-03-04,-184.5,4178.44,Other
2025-03-04,2025-03-04,5484324728,REVOLUT  798/25-03-03,-120.0,4362.94,Other
2025-03-04,2025-03-04,5484292112,GRANDPA AB  /25-03-03,-850.0,4482.94,Other
2025-03-04,2025-03-04,5484248869,UNIQLO KINGS/25-03-03,-149.0,5332.94,Other
2025-03-04,2025-03-04,5484242941,7-ELEVEN 461/25-03-03,-34.0,5481.94,Other
2025-03-04,2025-03-04,5484536974,OOB SVEAVAGE/25-03-03,-70.0,5515.94,Other
2025-03-04,2025-03-04,5490990789,46730529560,-709.0,5585.94,Other
2025-03-03,2025-03-03,5484242780,LION BAR SVE/25-03-02,-99.0,6294.94,Other
2025-03-03,2025-03-03,5484242763,LION BAR SVE/25-03-01,-236.0,6393.94,Other
2025-03-03,2025-03-03,5484131701,WOLT        /25-03-02,-178.84,6629.94,Other
2025-03-03,2025-03-03,5484047591,UBR  PENDING/25-03-02,-92.0,6808.78,Other
2025-03-03,2025-03-03,5484029034,KNIVSODER AB/25-03-01,-166.0,6900.78,Other
2025-03-03,2025-03-03,5484028994,KNIVSODER AB/25-03-01,-146.0,7066.78,Other
2025-03-03,2025-03-03,5490990789,393405707919,-144.0,7212.78,Other
2025-03-03,2025-03-03,5490990789,393405707919,144.0,7356.78,Other
2025-03-03,2025-03-03,5490990789,393405707919,-144.0,7212.78,Other
2025-03-03,2025-03-02,5484774197,7-ELEVEN HOR/25-03-01,-51.0,7356.78,Other
2025-03-03,2025-03-02,5484479245,HALLON      /25-03-02,-109.0,7407.78,Other
2025-03-03,2025-03-02,5484302909,MORMOS DUMPL/25-03-01,-318.0,7516.78,Other
2025-03-03,2025-03-02,5490990789,46764364349,-30.0,7834.78,Other
2025-03-03,2025-03-01,5484608855,DE TECLA AB /25-02-28,-83.0,7864.78,Other
2025-03-03,2025-03-01,5484385931,WOLT        /25-02-28,-69.0,7947.78,Other
2025-03-03,2025-03-01,5484249003,WOLT        /25-02-28,-199.5,8016.78,Other
